"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]","Speed of sound[m/s]","Viscosity[Pa.s]"
7200,241.35,39917.6,0.576177,311.436,0.0000156894
7250,241.025,39635.9,0.572882,311.226,0.0000156718
7300,240.7,39355.8,0.569602,311.016,0.0000156542
7350,240.375,39077.3,0.566336,310.806,0.0000156366
7400,240.05,38800.4,0.563084,310.596,0.000015619
7450,239.725,38525.1,0.559847,310.386,0.0000156014
7500,239.4,38251.4,0.556624,310.175,0.0000155837
7550,239.075,37979.3,0.553415,309.965,0.0000155661
7600,238.75,37708.7,0.55022,309.754,0.0000155484
7650,238.425,37439.7,0.547039,309.543,0.0000155308
7700,238.1,37172.2,0.543873,309.332,0.0000155131
7750,237.775,36906.3,0.540721,309.121,0.0000154954
7800,237.45,36642,0.537582,308.909,0.0000154777
7850,237.125,36379.1,0.534458,308.698,0.00001546
7900,236.8,36117.8,0.531347,308.486,0.0000154423
7950,236.475,35858.1,0.52825,308.275,0.0000154245
8000,236.15,35599.8,0.525168,308.063,0.0000154068
8050,235.825,35343.1,0.522098,307.851,0.0000153891
8100,235.5,35087.8,0.519043,307.638,0.0000153713
8150,235.175,34834,0.516001,307.426,0.0000153535
8200,234.85,34581.8,0.512973,307.214,0.0000153357
8250,234.525,34331,0.509959,307.001,0.0000153179
8300,234.2,34081.7,0.506958,306.788,0.0000153001
8350,233.875,33833.8,0.503971,306.575,0.0000152823
8400,233.55,33587.5,0.500997,306.362,0.0000152645
8450,233.225,33342.5,0.498037,306.149,0.0000152467
8500,232.9,33099,0.49509,305.935,0.0000152288
8550,232.575,32857,0.492156,305.722,0.000015211
8600,232.25,32616.4,0.489236,305.508,0.0000151931
8650,231.925,32377.2,0.486329,305.294,0.0000151752
8700,231.6,32139.5,0.483435,305.08,0.0000151573
8750,231.275,31903.1,0.480555,304.866,0.0000151394
8800,230.95,31668.2,0.477687,304.652,0.0000151215
8850,230.625,31434.7,0.474833,304.438,0.0000151036
8900,230.3,31202.6,0.471992,304.223,0.0000150857
8950,229.975,30971.8,0.469163,304.008,0.0000150677
9000,229.65,30742.5,0.466348,303.793,0.0000150498
9050,229.325,30514.5,0.463546,303.578,0.0000150318
9100,229,30287.9,0.460756,303.363,0.0000150138
9150,228.675,30062.6,0.45798,303.148,0.0000149958
9200,228.35,29838.7,0.455216,302.932,0.0000149778
9250,228.025,29616.2,0.452465,302.717,0.0000149598
9300,227.7,29395,0.449727,302.501,0.0000149418
9350,227.375,29175.2,0.447001,302.285,0.0000149238
9400,227.05,28956.7,0.444289,302.069,0.0000149058
9450,226.725,28739.5,0.441588,301.852,0.0000148877
9500,226.4,28523.6,0.438901,301.636,0.0000148696
9550,226.075,28309.1,0.436226,301.419,0.0000148516
9600,225.75,28095.8,0.433563,301.203,0.0000148335
9650,225.425,27883.9,0.430913,300.986,0.0000148154
9700,225.1,27673.2,0.428275,300.769,0.0000147973
9750,224.775,27463.9,0.425649,300.552,0.0000147792
9800,224.45,27255.8,0.423036,300.334,0.000014761
9850,224.125,27049,0.420436,300.117,0.0000147429
9900,223.8,26843.5,0.417847,299.899,0.0000147247
9950,223.475,26639.3,0.415271,299.681,0.0000147066
10000,223.15,26436.3,0.412707,299.463,0.0000146884
10050,222.825,26234.5,0.410155,299.245,0.0000146702
10100,222.5,26034,0.407615,299.027,0.000014652
10150,222.175,25834.8,0.405087,298.808,0.0000146338
10200,221.85,25636.8,0.402571,298.59,0.0000146156
10250,221.525,25440,0.400067,298.371,0.0000145974
10300,221.2,25244.5,0.397575,298.152,0.0000145792
10350,220.875,25050.1,0.395095,297.933,0.0000145609
10400,220.55,24857,0.392627,297.714,0.0000145426
10450,220.225,24665.1,0.39017,297.494,0.0000145244
10500,219.9,24474.4,0.387725,297.275,0.0000145061
10550,219.575,24284.9,0.385293,297.055,0.0000144878
10600,219.25,24096.5,0.382871,296.835,0.0000144695
10650,218.925,23909.4,0.380462,296.615,0.0000144512
10700,218.6,23723.4,0.378064,296.395,0.0000144328
10750,218.275,23538.6,0.375677,296.174,0.0000144145
10800,217.95,23355,0.373303,295.954,0.0000143962
10850,217.625,23172.5,0.370939,295.733,0.0000143778
10900,217.3,22991.2,0.368588,295.512,0.0000143594
10950,216.975,22811.1,0.366247,295.291,0.000014341
11000,216.65,22632.1,0.363918,295.07,0.0000143226
11050,216.65,22454.3,0.36106,295.07,0.0000143226
11100,216.65,22278,0.358224,295.07,0.0000143226
11150,216.65,22103,0.355411,295.07,0.0000143226
11200,216.65,21929.4,0.35262,295.07,0.0000143226
11250,216.65,21757.2,0.349851,295.07,0.0000143226
11300,216.65,21586.3,0.347103,295.07,0.0000143226
11350,216.65,21416.8,0.344377,295.07,0.0000143226
11400,216.65,21248.6,0.341673,295.07,0.0000143226
11450,216.65,21081.8,0.338989,295.07,0.0000143226
11500,216.65,20916.2,0.336327,295.07,0.0000143226
11550,216.65,20751.9,0.333686,295.07,0.0000143226
11600,216.65,20589,0.331065,295.07,0.0000143226
11650,216.65,20427.3,0.328465,295.07,0.0000143226
11700,216.65,20266.8,0.325886,295.07,0.0000143226
11750,216.65,20107.7,0.323326,295.07,0.0000143226
11800,216.65,19949.8,0.320787,295.07,0.0000143226
11850,216.65,19793.1,0.318268,295.07,0.0000143226
11900,216.65,19637.6,0.315768,295.07,0.0000143226
11950,216.65,19483.4,0.313289,295.07,0.0000143226
12000,216.65,19330.4,0.310828,295.07,0.0000143226
12050,216.65,19178.6,0.308387,295.07,0.0000143226
12100,216.65,19028,0.305965,295.07,0.0000143226
12150,216.65,18878.5,0.303562,295.07,0.0000143226
12200,216.65,18730.3,0.301178,295.07,0.0000143226
12250,216.65,18583.2,0.298813,295.07,0.0000143226
12300,216.65,18437.2,0.296466,295.07,0.0000143226
12350,216.65,18292.4,0.294138,295.07,0.0000143226
12400,216.65,18148.8,0.291828,295.07,0.0000143226
12450,216.65,18006.3,0.289536,295.07,0.0000143226
12500,216.65,17864.8,0.287262,295.07,0.0000143226
12550,216.65,17724.5,0.285006,295.07,0.0000143226
12600,216.65,17585.4,0.282768,295.07,0.0000143226
12650,216.65,17447.2,0.280547,295.07,0.0000143226
12700,216.65,17310.2,0.278344,295.07,0.0000143226
12750,216.65,17174.3,0.276158,295.07,0.0000143226
12800,216.65,17039.4,0.273989,295.07,0.0000143226
12850,216.65,16905.6,0.271838,295.07,0.0000143226
12900,216.65,16772.8,0.269703,295.07,0.0000143226
12950,216.65,16641.1,0.267585,295.07,0.0000143226
13000,216.65,16510.4,0.265483,295.07,0.0000143226
13050,216.65,16380.7,0.263398,295.07,0.0000143226
13100,216.65,16252.1,0.26133,295.07,0.0000143226
13150,216.65,16124.5,0.259277,295.07,0.0000143226
13200,216.65,15997.8,0.257241,295.07,0.0000143226
13250,216.65,15872.2,0.255221,295.07,0.0000143226
13300,216.65,15747.5,0.253217,295.07,0.0000143226
13350,216.65,15623.9,0.251228,295.07,0.0000143226
13400,216.65,15501.2,0.249255,295.07,0.0000143226
13450,216.65,15379.4,0.247297,295.07,0.0000143226
13500,216.65,15258.7,0.245355,295.07,0.0000143226
13550,216.65,15138.8,0.243428,295.07,0.0000143226
13600,216.65,15019.9,0.241517,295.07,0.0000143226
13650,216.65,14902,0.23962,295.07,0.0000143226
13700,216.65,14784.9,0.237738,295.07,0.0000143226
13750,216.65,14668.8,0.235871,295.07,0.0000143226
13800,216.65,14553.6,0.234019,295.07,0.0000143226
13850,216.65,14439.3,0.232181,295.07,0.0000143226
13900,216.65,14325.9,0.230357,295.07,0.0000143226
13950,216.65,14213.4,0.228548,295.07,0.0000143226
14000,216.65,14101.8,0.226753,295.07,0.0000143226
14050,216.65,13991.1,0.224973,295.07,0.0000143226
14100,216.65,13881.2,0.223206,295.07,0.0000143226
14150,216.65,13772.2,0.221453,295.07,0.0000143226
14200,216.65,13664,0.219714,295.07,0.0000143226
14250,216.65,13556.7,0.217988,295.07,0.0000143226
14300,216.65,13450.2,0.216276,295.07,0.0000143226
14350,216.65,13344.6,0.214578,295.07,0.0000143226
14400,216.65,13239.8,0.212893,295.07,0.0000143226
14450,216.65,13135.8,0.211221,295.07,0.0000143226
14500,216.65,13032.7,0.209562,295.07,0.0000143226
14550,216.65,12930.3,0.207916,295.07,0.0000143226
14600,216.65,12828.8,0.206283,295.07,0.0000143226
14650,216.65,12728,0.204663,295.07,0.0000143226
14700,216.65,12628.1,0.203056,295.07,0.0000143226
14750,216.65,12528.9,0.201461,295.07,0.0000143226
14800,216.65,12430.5,0.199879,295.07,0.0000143226
14850,216.65,12332.9,0.198309,295.07,0.0000143226
14900,216.65,12236,0.196752,295.07,0.0000143226
14950,216.65,12139.9,0.195207,295.07,0.0000143226
15000,216.65,12044.6,0.193674,295.07,0.0000143226
15050,216.65,11950,0.192153,295.07,0.0000143226
15100,216.65,11856.1,0.190644,295.07,0.0000143226
15150,216.65,11763,0.189146,295.07,0.0000143226
15200,216.65,11670.6,0.187661,295.07,0.0000143226
15250,216.65,11579,0.186187,295.07,0.0000143226
15300,216.65,11488.1,0.184725,295.07,0.0000143226
15350,216.65,11397.8,0.183274,295.07,0.0000143226
15400,216.65,11308.3,0.181835,295.07,0.0000143226
15450,216.65,11219.5,0.180407,295.07,0.0000143226
15500,216.65,11131.4,0.17899,295.07,0.0000143226
15550,216.65,11044,0.177584,295.07,0.0000143226
15600,216.65,10957.2,0.17619,295.07,0.0000143226
15650,216.65,10871.2,0.174806,295.07,0.0000143226
15700,216.65,10785.8,0.173433,295.07,0.0000143226
15750,216.65,10701.1,0.172071,295.07,0.0000143226
15800,216.65,10617.1,0.17072,295.07,0.0000143226
15850,216.65,10533.7,0.169379,295.07,0.0000143226
15900,216.65,10451,0.168049,295.07,0.0000143226
15950,216.65,10368.9,0.166729,295.07,0.0000143226
16000,216.65,10287.5,0.16542,295.07,0.0000143226
16050,216.65,10206.7,0.164121,295.07,0.0000143226
16100,216.65,10126.5,0.162832,295.07,0.0000143226
16150,216.65,10047,0.161553,295.07,0.0000143226
16200,216.65,9968.08,0.160284,295.07,0.0000143226
16250,216.65,9889.8,0.159025,295.07,0.0000143226
16300,216.65,9812.13,0.157777,295.07,0.0000143226
16350,216.65,9735.07,0.156538,295.07,0.0000143226
16400,216.65,9658.61,0.155308,295.07,0.0000143226
16450,216.65,9582.76,0.154088,295.07,0.0000143226
16500,216.65,9507.5,0.152878,295.07,0.0000143226
16550,216.65,9432.84,0.151678,295.07,0.0000143226
16600,216.65,9358.76,0.150487,295.07,0.0000143226
16650,216.65,9285.26,0.149305,295.07,0.0000143226
16700,216.65,9212.34,0.148132,295.07,0.0000143226
16750,216.65,9139.99,0.146969,295.07,0.0000143226
16800,216.65,9068.21,0.145815,295.07,0.0000143226
16850,216.65,8996.99,0.144669,295.07,0.0000143226
16900,216.65,8926.34,0.143533,295.07,0.0000143226
16950,216.65,8856.23,0.142406,295.07,0.0000143226
17000,216.65,8786.68,0.141288,295.07,0.0000143226
17050,216.65,8717.68,0.140178,295.07,0.0000143226
17100,216.65,8649.21,0.139077,295.07,0.0000143226
17150,216.65,8581.29,0.137985,295.07,0.0000143226
17200,216.65,8513.89,0.136901,295.07,0.0000143226
17250,216.65,8447.03,0.135826,295.07,0.0000143226
17300,216.65,8380.69,0.134759,295.07,0.0000143226
17350,216.65,8314.88,0.133701,295.07,0.0000143226
17400,216.65,8249.58,0.132651,295.07,0.0000143226
17450,216.65,8184.79,0.131609,295.07,0.0000143226
17500,216.65,8120.51,0.130576,295.07,0.0000143226
17550,216.65,8056.74,0.12955,295.07,0.0000143226
17600,216.65,7993.46,0.128533,295.07,0.0000143226
17650,216.65,7930.69,0.127524,295.07,0.0000143226
17700,216.65,7868.4,0.126522,295.07,0.0000143226
17750,216.65,7806.61,0.125528,295.07,0.0000143226
17800,216.65,7745.3,0.124543,295.07,0.0000143226
17850,216.65,7684.47,0.123564,295.07,0.0000143226
17900,216.65,7624.13,0.122594,295.07,0.0000143226
17950,216.65,7564.25,0.121631,295.07,0.0000143226
18000,216.65,7504.84,0.120676,295.07,0.0000143226
18050,216.65,7445.91,0.119728,295.07,0.0000143226
18100,216.65,7387.43,0.118788,295.07,0.0000143226
18150,216.65,7329.41,0.117855,295.07,0.0000143226
18200,216.65,7271.85,0.11693,295.07,0.0000143226
18250,216.65,7214.74,0.116011,295.07,0.0000143226
18300,216.65,7158.08,0.1151,295.07,0.0000143226
18350,216.65,7101.87,0.114196,295.07,0.0000143226
18400,216.65,7046.09,0.113299,295.07,0.0000143226
18450,216.65,6990.76,0.11241,295.07,0.0000143226
18500,216.65,6935.86,0.111527,295.07,0.0000143226
18550,216.65,6881.39,0.110651,295.07,0.0000143226
18600,216.65,6827.34,0.109782,295.07,0.0000143226
18650,216.65,6773.73,0.10892,295.07,0.0000143226
18700,216.65,6720.53,0.108064,295.07,0.0000143226
18750,216.65,6667.75,0.107216,295.07,0.0000143226
18800,216.65,6615.39,0.106374,295.07,0.0000143226
18850,216.65,6563.43,0.105538,295.07,0.0000143226
18900,216.65,6511.89,0.10471,295.07,0.0000143226
18950,216.65,6460.75,0.103887,295.07,0.0000143226
19000,216.65,6410.01,0.103071,295.07,0.0000143226
19050,216.65,6359.67,0.102262,295.07,0.0000143226
19100,216.65,6309.72,0.101459,295.07,0.0000143226
19150,216.65,6260.17,0.100662,295.07,0.0000143226
19200,216.65,6211,0.0998714,295.07,0.0000143226
19250,216.65,6162.23,0.0990871,295.07,0.0000143226
19300,216.65,6113.83,0.0983089,295.07,0.0000143226
19350,216.65,6065.82,0.0975369,295.07,0.0000143226
19400,216.65,6018.18,0.0967709,295.07,0.0000143226
19450,216.65,5970.92,0.0960109,295.07,0.0000143226
19500,216.65,5924.03,0.0952569,295.07,0.0000143226
19550,216.65,5877.5,0.0945088,295.07,0.0000143226
19600,216.65,5831.34,0.0937666,295.07,0.0000143226
19650,216.65,5785.55,0.0930302,295.07,0.0000143226
19700,216.65,5740.11,0.0922996,295.07,0.0000143226
19750,216.65,5695.03,0.0915747,295.07,0.0000143226
19800,216.65,5650.31,0.0908555,295.07,0.0000143226
19850,216.65,5605.93,0.090142,295.07,0.0000143226
19900,216.65,5561.91,0.0894341,295.07,0.0000143226
19950,216.65,5518.23,0.0887317,295.07,0.0000143226
20000,216.65,5474.89,0.0880349,295.07,0.0000143226
20050,216.7,5431.9,0.0873234,295.104,0.0000143255
20100,216.75,5389.25,0.0866179,295.138,0.0000143283
20150,216.8,5346.95,0.0859182,295.172,0.0000143311
20200,216.85,5304.99,0.0852243,295.206,0.000014334
20250,216.9,5263.38,0.0845362,295.24,0.0000143368
20300,216.95,5222.09,0.0838538,295.274,0.0000143396
20350,217,5181.14,0.0831771,295.308,0.0000143425
20400,217.05,5140.52,0.082506,295.342,0.0000143453
20450,217.1,5100.23,0.0818405,295.376,0.0000143481
20500,217.15,5060.26,0.0811804,295.41,0.0000143509
20550,217.2,5020.62,0.0805259,295.444,0.0000143538
20600,217.25,4981.29,0.0798768,295.478,0.0000143566
20650,217.3,4942.29,0.079233,295.512,0.0000143594
20700,217.35,4903.59,0.0785946,295.546,0.0000143622
20750,217.4,4865.21,0.0779615,295.58,0.0000143651
20800,217.45,4827.14,0.0773336,295.614,0.0000143679
20850,217.5,4789.37,0.0767109,295.648,0.0000143707
20900,217.55,4751.91,0.0760934,295.682,0.0000143736
20950,217.6,4714.75,0.075481,295.716,0.0000143764
21000,217.65,4677.89,0.0748737,295.75,0.0000143792
21050,217.7,4641.32,0.0742713,295.784,0.000014382
21100,217.75,4605.05,0.073674,295.818,0.0000143849
21150,217.8,4569.07,0.0730816,295.852,0.0000143877
21200,217.85,4533.38,0.0724941,295.886,0.0000143905
21250,217.9,4497.98,0.0719115,295.92,0.0000143933
21300,217.95,4462.86,0.0713336,295.954,0.0000143962
21350,218,4428.02,0.0707606,295.987,0.000014399
21400,218.05,4393.47,0.0701923,296.021,0.0000144018
21450,218.1,4359.19,0.0696286,296.055,0.0000144046
21500,218.15,4325.18,0.0690697,296.089,0.0000144074
21550,218.2,4291.45,0.0685153,296.123,0.0000144103
21600,218.25,4257.99,0.0679655,296.157,0.0000144131
21650,218.3,4224.8,0.0674203,296.191,0.0000144159
21700,218.35,4191.87,0.0668795,296.225,0.0000144187
21750,218.4,4159.21,0.0663432,296.259,0.0000144216
21800,218.45,4126.81,0.0658114,296.293,0.0000144244
21850,218.5,4094.67,0.0652839,296.327,0.0000144272
21900,218.55,4062.79,0.0647607,296.361,0.00001443
21950,218.6,4031.16,0.0642419,296.395,0.0000144328
22000,218.65,3999.79,0.0637273,296.428,0.0000144357
22050,218.7,3968.67,0.063217,296.462,0.0000144385
22100,218.75,3937.79,0.0627109,296.496,0.0000144413
22150,218.8,3907.17,0.062209,296.53,0.0000144441
22200,218.85,3876.79,0.0617111,296.564,0.0000144469
22250,218.9,3846.65,0.0612174,296.598,0.0000144498
22300,218.95,3816.75,0.0607278,296.632,0.0000144526
22350,219,3787.1,0.0602421,296.666,0.0000144554
22400,219.05,3757.68,0.0597605,296.699,0.0000144582
22450,219.1,3728.49,0.0592828,296.733,0.000014461
22500,219.15,3699.54,0.0588091,296.767,0.0000144639
22550,219.2,3670.82,0.0583392,296.801,0.0000144667
22600,219.25,3642.33,0.0578732,296.835,0.0000144695
22650,219.3,3614.06,0.057411,296.869,0.0000144723
22700,219.35,3586.03,0.0569526,296.903,0.0000144751
22750,219.4,3558.21,0.056498,296.936,0.0000144779
22800,219.45,3530.62,0.0560471,296.97,0.0000144808
22850,219.5,3503.25,0.0555999,297.004,0.0000144836
22900,219.55,3476.09,0.0551564,297.038,0.0000144864
22950,219.6,3449.16,0.0547165,297.072,0.0000144892
23000,219.65,3422.43,0.0542803,297.105,0.000014492
23050,219.7,3395.93,0.0538476,297.139,0.0000144948
23100,219.75,3369.63,0.0534184,297.173,0.0000144976
23150,219.8,3343.54,0.0529928,297.207,0.0000145005
23200,219.85,3317.66,0.0525706,297.241,0.0000145033
23250,219.9,3291.98,0.052152,297.275,0.0000145061
23300,219.95,3266.51,0.0517367,297.308,0.0000145089
23350,220,3241.25,0.0513248,297.342,0.0000145117
23400,220.05,3216.18,0.0509164,297.376,0.0000145145
23450,220.1,3191.32,0.0505112,297.41,0.0000145173
23500,220.15,3166.65,0.0501094,297.443,0.0000145202
23550,220.2,3142.17,0.0497108,297.477,0.000014523
23600,220.25,3117.9,0.0493155,297.511,0.0000145258
23650,220.3,3093.81,0.0489235,297.545,0.0000145286
23700,220.35,3069.92,0.0485346,297.579,0.0000145314
23750,220.4,3046.21,0.048149,297.612,0.0000145342
23800,220.45,3022.7,0.0477665,297.646,0.000014537
23850,220.5,2999.37,0.0473871,297.68,0.0000145398
23900,220.55,2976.23,0.0470108,297.714,0.0000145426
23950,220.6,2953.27,0.0466375,297.747,0.0000145455
24000,220.65,2930.49,0.0462674,297.781,0.0000145483
24050,220.7,2907.9,0.0459002,297.815,0.0000145511
24100,220.75,2885.48,0.045536,297.849,0.0000145539
24150,220.8,2863.24,0.0451749,297.882,0.0000145567
24200,220.85,2841.18,0.0448166,297.916,0.0000145595
24250,220.9,2819.29,0.0444613,297.95,0.0000145623
24300,220.95,2797.58,0.0441089,297.983,0.0000145651
24350,221,2776.03,0.0437593,298.017,0.0000145679
24400,221.05,2754.66,0.0434126,298.051,0.0000145707
24450,221.1,2733.46,0.0430687,298.085,0.0000145735
24500,221.15,2712.42,0.0427276,298.118,0.0000145763
24550,221.2,2691.56,0.0423893,298.152,0.0000145792
24600,221.25,2670.85,0.0420538,298.186,0.000014582
24650,221.3,2650.32,0.041721,298.219,0.0000145848
24700,221.35,2629.94,0.0413909,298.253,0.0000145876
24750,221.4,2609.73,0.0410634,298.287,0.0000145904
24800,221.45,2589.67,0.0407387,298.32,0.0000145932
